Bike Id,Duration,End Date,End Station Id,End Station Name,Id,Start Date,Start Station Id,Start Station Name,Subscription Type
408,217,1/13/2015 11:40,41,Clay at Battery,601985,1/13/2015 11:36,77,Market at Sansome,Subscriber
269,405,1/13/2015 11:44,64,2nd at South Park,601987,1/13/2015 11:37,77,Market at Sansome,Subscriber
210,829,1/13/2015 11:51,7,Paseo de San Antonio,601986,1/13/2015 11:37,2,San Jose Diridon Caltrain Station,Subscriber
578,819,1/13/2015 11:55,55,Temporary Transbay Terminal (Howard at Beale),601989,1/13/2015 11:41,73,Grant Avenue at Columbus Avenue,Subscriber
463,692,1/13/2015 11:57,60,Embarcadero at Sansome,601990,1/13/2015 11:46,49,Spear at Folsom,Subscriber
492,665,1/13/2015 12:00,39,Powell Street BART,601993,1/13/2015 11:49,50,Harry Bridges Plaza (Ferry Building),Customer
344,269,1/13/2015 11:53,61,2nd at Townsend,601991,1/13/2015 11:49,70,San Francisco Caltrain (Townsend at 4th),Subscriber
128,471,1/13/2015 11:58,14,Arena Green / SAP Center,601995,1/13/2015 11:51,10,San Jose City Hall,Subscriber
471,751,1/13/2015 12:04,72,Civic Center BART (7th at Market),601996,1/13/2015 11:52,49,Spear at Folsom,Subscriber
359,699,1/13/2015 12:05,76,Market at 4th,601997,1/13/2015 11:53,60,Embarcadero at Sansome,Subscriber
537,433,1/13/2015 12:02,65,Townsend at 7th,602000,1/13/2015 11:54,72,Civic Center BART (7th at Market),Subscriber
322,1076,1/13/2015 12:12,75,Mechanics Plaza (Market at Battery),601999,1/13/2015 11:54,72,Civic Center BART (7th at Market),Subscriber
390,510,1/13/2015 12:02,50,Harry Bridges Plaza (Ferry Building),601998,1/13/2015 11:54,61,2nd at Townsend,Subscriber
338,253,1/13/2015 12:00,48,Embarcadero at Vallejo,602001,1/13/2015 11:55,74,Steuart at Market,Subscriber
635,1035,1/13/2015 12:16,69,San Francisco Caltrain 2 (330 Townsend),602005,1/13/2015 11:59,41,Clay at Battery,Subscriber
428,698,1/13/2015 12:12,70,San Francisco Caltrain (Townsend at 4th),602003,1/13/2015 12:00,77,Market at Sansome,Subscriber
33,4630,1/13/2015 13:17,48,Embarcadero at Vallejo,602002,1/13/2015 12:00,48,Embarcadero at Vallejo,Subscriber
214,523,1/13/2015 12:10,47,Post at Kearny,602004,1/13/2015 12:01,66,South Van Ness at Market,Subscriber
393,340,1/13/2015 12:09,76,Market at 4th,602006,1/13/2015 12:03,59,Golden Gate at Polk,Subscriber
502,240,1/13/2015 12:09,45,Commercial at Montgomery,602010,1/13/2015 12:05,56,Beale at Market,Subscriber
368,801,1/13/2015 12:19,55,Temporary Transbay Terminal (Howard at Beale),602016,1/13/2015 12:06,59,Golden Gate at Polk,Subscriber
525,221,1/13/2015 12:09,41,Clay at Battery,602013,1/13/2015 12:06,41,Clay at Battery,Subscriber
510,460,1/13/2015 12:15,76,Market at 4th,602023,1/13/2015 12:07,50,Harry Bridges Plaza (Ferry Building),Customer
32,663,1/13/2015 12:18,84,Ryland Park,602022,1/13/2015 12:07,80,Santa Clara County Civic Center,Subscriber
260,728,1/13/2015 12:20,77,Market at Sansome,602024,1/13/2015 12:08,59,Golden Gate at Polk,Subscriber
392,582,1/13/2015 12:19,60,Embarcadero at Sansome,602029,1/13/2015 12:09,46,Washington at Kearny,Subscriber
549,181,1/13/2015 12:12,75,Mechanics Plaza (Market at Battery),602025,1/13/2015 12:09,74,Steuart at Market,Subscriber
161,897,1/13/2015 12:25,12,SJSU 4th at San Carlos,602026,1/13/2015 12:10,80,Santa Clara County Civic Center,Subscriber
373,201,1/13/2015 12:14,67,Market at 10th,602031,1/13/2015 12:11,59,Golden Gate at Polk,Subscriber
317,24182,1/13/2015 18:54,76,Market at 4th,602030,1/13/2015 12:11,58,San Francisco City Hall,Customer
517,24173,1/13/2015 18:54,76,Market at 4th,602028,1/13/2015 12:11,58,San Francisco City Hall,Customer
659,558,1/13/2015 12:20,57,5th at Howard,602027,1/13/2015 12:11,59,Golden Gate at Polk,Subscriber
551,436,1/13/2015 12:20,50,Harry Bridges Plaza (Ferry Building),602034,1/13/2015 12:12,62,2nd at Folsom,Subscriber
590,316,1/13/2015 12:17,39,Powell Street BART,602033,1/13/2015 12:12,67,Market at 10th,Subscriber
529,349,1/13/2015 12:18,65,Townsend at 7th,602032,1/13/2015 12:12,65,Townsend at 7th,Customer
42,184,1/13/2015 12:18,4,Santa Clara at Almaden,602035,1/13/2015 12:15,5,Adobe on Almaden,Subscriber
635,530,1/13/2015 12:25,76,Market at 4th,602037,1/13/2015 12:16,69,San Francisco Caltrain 2 (330 Townsend),Subscriber
434,442,1/13/2015 12:27,70,San Francisco Caltrain (Townsend at 4th),602039,1/13/2015 12:20,39,Powell Street BART,Subscriber
395,189,1/13/2015 12:24,69,San Francisco Caltrain 2 (330 Townsend),602041,1/13/2015 12:21,65,Townsend at 7th,Customer
320,600,1/13/2015 12:31,42,Davis at Jackson,602040,1/13/2015 12:21,71,Powell at Post (Union Square),Subscriber
558,213,1/13/2015 12:26,45,Commercial at Montgomery,602042,1/13/2015 12:22,73,Grant Avenue at Columbus Avenue,Subscriber
417,1096,1/13/2015 12:42,48,Embarcadero at Vallejo,602043,1/13/2015 12:24,48,Embarcadero at Vallejo,Subscriber
440,1271,1/13/2015 12:47,63,Howard at 2nd,602045,1/13/2015 12:26,63,Howard at 2nd,Subscriber
312,739,1/13/2015 12:38,76,Market at 4th,602044,1/13/2015 12:26,71,Powell at Post (Union Square),Subscriber
263,788,1/13/2015 12:41,32,Castro Street and El Camino Real,602047,1/13/2015 12:27,30,Evelyn Park and Ride,Customer
705,802,1/13/2015 12:40,32,Castro Street and El Camino Real,602046,1/13/2015 12:27,30,Evelyn Park and Ride,Customer
