id,answer
1,1
2,1
3,1
4,4
5,3
6,5
7,3
8,5
9,3
10,3
11,3
12,2
13,4
14,2
15,2
16,5
17,1
18,3
19,3
20,2
21,5
22,4
23,3
24,2
25,4
26,2
27,3
28,2
29,5
30,5
31,2
32,4
33,4
34,5
35,4
36,1
37,4
38,3
39,3
40,4
41,2
42,5
43,2
44,2
45,4
46,5
47,4
48,2
49,2
50,2
51,3
52,2
53,5
54,3
55,5
56,4
57,3
58,5
59,3
60,4
61,4
62,3
63,5
64,4
65,1
66,5
67,3
68,2
69,2
70,2
71,2
72,5
73,3
74,4
75,4
76,5
77,2
78,4
79,2
80,4
81,5
82,3
83,4
84,
85,5
86,4
87,5
88,5
89,5
90,3
91,1
92,1
93,4
94,2
95,3
96,4
97,1
98,3
99,1
100,3
101,3
102,5
103,5
104,5
105,5
106,4
107,4
108,1
109,1
110,3
111,3
112,3
113,2
114,2
115,5
116,2
117,2
118,2
119,3
120,4
121,5
122,1
123,5
124,2
125,4
126,4
127,5
128,4
129,4
130,4
131,5
132,1
133,1
134,4
135,3
136,5
137,4
138,4
139,2
140,1
141,5
142,3
143,1
144,
145,3
146,2
147,5
148,4
149,3
150,2
151,2
152,4
153,5
154,5
155,5
156,4
157,5
158,3
159,1
160,4
161,4
162,2
163,5
164,5
165,3
166,3
167,2
168,3
169,3
170,4
171,5
172,4
173,5
174,3
175,5
176,1
177,1
178,3
179,4
180,5
181,4
182,4
183,3
184,5
185,3
186,2
187,3
188,5
189,4
190,4
191,3
192,3
193,3
194,3
195,2
196,3
197,4
198,2
199,4
200,2
201,3
202,4
203,2
204,2
205,1
206,5
207,5
208,5
209,3
210,4
211,5
212,1
213,5
214,3
215,4
216,3
217,3
218,2
219,2
220,5
221,3
222,3
223,2
224,4
225,2
226,3
227,2
228,5
229,3
230,2
231,4
232,2
233,1
234,1
235,1
236,5
237,5
238,2
239,2
240,4
241,3
242,3
243,3
244,4
245,1
246,3
247,5
248,3
249,5
250,4
251,1
252,2
253,3
254,1
255,2
256,2
257,3
258,4
259,2
260,5
261,3
262,3
263,3
264,1
265,2
266,1
267,3
268,4
269,1
270,3
271,3
272,4
273,3
274,3
275,5
276,5
277,4
278,5
279,4
280,3
281,3
282,2
283,1
284,2
285,2
286,2
287,4
288,4
289,2
290,5
291,4
292,4
293,3
294,4
295,5
296,3
297,4
298,1
299,3
300,3
301,3
302,5
303,3
304,4
305,4
306,5
307,3
308,2
309,3
310,2
311,1
312,5
313,2
314,3
315,5
316,4
317,3
318,1
319,3
320,3
321,5
322,4
323,5
324,2
325,1
326,5
327,4
328,3
329,1
330,3
331,4
332,2
333,3
334,5
335,4
336,5
337,1
338,3
339,2
340,5
341,5
342,3
343,2
344,2
345,1
346,3
347,5
348,2
349,3
350,3
351,2
352,3
353,1
354,4
355,3
356,4
357,5
358,1
359,5
360,5
361,4
362,4
363,5
364,5
365,3
366,5
367,1
368,5
369,3
370,4
371,4
372,2
373,3
374,5
375,2
376,2
377,2
378,3
379,4
380,3
381,3
382,5
383,4
384,1
385,2
386,3
387,2
388,2
389,3
390,2
391,5
392,4
393,3
394,5
395,1
396,4
397,2
398,1
399,3
400,5
401,5
402,2
403,5
404,2
405,2
406,5
407,1
408,4
409,3
410,1
411,3
412,5
413,4
414,4
415,4
416,1
417,2
418,4
419,1
420,3
421,5
422,5
423,4
424,2
425,3
426,3
427,1
428,3
429,2
430,2
431,4
432,2
433,5
434,3
435,5
436,2
437,2
438,1
439,1
440,4
441,4
442,1
443,2
444,5
445,3
446,4
447,1
448,5
449,3
450,2
451,3
452,3
453,1
454,2
455,3
456,1
457,5
458,3
459,5
460,2
461,4
462,3
463,3
464,1
465,2
466,5
467,1
468,1
469,3
470,3
471,4
472,3
473,2
474,5
475,3
476,4
477,3
478,2
479,2
480,2
481,3
482,5
483,4
484,3
485,4
486,1
487,4
488,1
489,5
490,5
491,1
492,2
493,5
494,3
495,2
496,2
497,3
498,3
499,4
500,3
501,4
502,3
503,2
504,4
505,3
506,2
507,2
508,3
509,3
510,5
511,3
512,2
513,1
514,2
515,3
516,3
517,5
518,4
519,3
520,4
521,4
522,3
523,2
524,2
525,3
526,3
527,4
528,2
529,2
530,5
531,5
532,5
533,5
534,3
535,3
536,3
537,3
538,4
539,4
540,5
541,3
542,2
543,4
544,3
545,3
546,3
547,3
548,5
549,2
550,2
551,3
552,4
553,4
554,2
555,2
556,1
557,2
558,5
559,3
560,1
561,1
562,4
563,3
564,5
565,3
566,1
567,4
568,1
569,1
570,4
571,4
572,1
573,2
574,3
575,3
576,2
577,3
578,3
579,2
580,5
581,3
582,1
583,5
584,5
585,3
586,2
587,4
588,4
589,3
590,5
591,4
592,3
593,3
594,2
595,5
596,4
597,2
598,2
599,3
600,4
601,2
602,3
