id,answer
1,5
2,3
3,2
4,4
5,2
6,3
7,3
8,2
9,2
10,2
11,3
12,2
13,4
14,2
15,5
16,5
17,1
18,2
19,5
20,3
21,3
22,4
23,4
24,2
25,5
26,2
27,3
28,2
29,1
30,4
31,3
32,4
33,5
34,3
35,5
36,1
37,5
38,3
39,4
40,1
41,1
42,4
43,5
44,4
45,5
46,5
47,3
48,3
49,4
50,2
51,4
52,4
53,4
54,3
55,3
56,5
57,4
58,5
59,3
60,4
61,5
62,3
63,4
64,2
65,2
66,2
67,2
68,3
69,2
70,2
71,1
72,1
73,2
74,3
75,3
76,5
77,2
78,2
79,5
80,3
81,4
82,2
83,5
84,2
85,5
86,3
87,5
88,4
89,1
90,3
91,1
92,1
93,3
94,3
95,2
96,4
97,1
98,2
99,1
100,4
101,1
102,1
103,5
104,4
105,4
106,2
107,4
108,2
109,3
110,3
111,4
112,4
113,3
114,2
115,3
116,5
117,4
118,2
119,2
120,4
121,3
122,3
123,2
124,3
125,4
126,4
127,2
128,4
129,5
130,3
131,3
132,3
133,5
134,1
135,3
136,2
137,2
138,
139,3
140,3
141,4
142,5
143,2
144,4
145,4
146,4
147,3
148,2
149,4
150,3
151,3
152,4
153,5
154,3
155,1
156,5
157,2
158,4
159,2
160,4
161,3
162,2
163,3
164,5
165,3
166,4
167,2
168,3
169,4
170,2
171,4
172,4
173,4
174,2
175,1
176,5
177,1
178,3
179,4
180,5
181,5
182,4
183,2
184,5
185,3
186,5
187,3
188,3
189,1
190,3
191,3
192,4
193,3
194,3
195,3
196,3
197,4
198,1
199,3
200,2
201,2
202,5
203,2
204,2
205,2
206,4
207,3
208,2
209,3
210,4
211,4
212,3
213,3
214,3
215,3
216,1
217,3
218,3
219,1
220,3
221,3
222,4
223,3
224,5
225,4
226,3
227,1
228,4
229,3
230,1
231,4
232,4
233,2
234,4
235,1
236,5
237,4
238,2
239,3
240,2
241,3
242,4
243,3
244,5
245,5
246,5
247,3
248,2
249,5
250,4
251,1
252,2
253,4
254,3
255,4
256,5
257,2
258,2
259,2
260,4
261,3
262,2
263,5
264,4
265,2
266,1
267,3
268,4
269,2
270,3
271,5
272,1
273,4
274,4
275,5
276,5
277,1
278,3
279,3
280,4
281,4
282,3
283,3
284,2
285,1
286,3
287,4
288,3
289,2
290,2
291,3
292,3
293,4
294,1
295,5
296,3
297,2
298,4
299,5
300,4
301,4
302,5
303,4
304,2
305,5
306,5
307,4
308,2
309,4
310,3
311,1
312,3
313,1
314,4
315,4
316,2
317,2
318,1
319,5
320,5
321,2
322,5
323,2
324,4
325,2
326,3
327,4
328,3
329,5
330,2
331,3
332,3
333,3
334,3
335,4
336,2
337,1
338,3
339,2
340,2
341,3
342,3
343,3
344,3
345,1
346,3
347,5
